Frame 0:  377.46 1335.08 0.00
Frame 1:  373.41 1330.17 0.00
Frame 2:  369.45 1325.28 0.00
Frame 3:  365.57 1320.41 0.00
Frame 4:  361.88 1315.68 0.00
Frame 5:  366.78 1319.98 0.00
Frame 6:  371.85 1324.38 0.00
Frame 7:  376.98 1328.80 0.00
Frame 8:  382.16 1333.25 0.00
Frame 9:  387.39 1337.71 0.00
Frame 10:  397.00 1348.15 0.00
Frame 11:  391.00 1342.75 0.00
Frame 12:  394.36 1342.45 0.00
Frame 13:  386.57 1333.35 0.00
Frame 14:  396.18 1341.31 0.00
Frame 15:  392.01 1349.24 0.00
Frame 16:  382.76 1341.42 0.00
Frame 17:  374.51 1333.46 0.00
Frame 18:  375.19 1333.45 0.00
Frame 19:  382.97 1339.45 0.00
