board,NS,EW,bid,by,lead,tricks,score,NS_pts,EW_pts
1,1,2,3♠,N,Q♥,9,140,104.44,39.56
1,5,6,4♥,W,1♣0,9,50,61.86,82.14
1,9,10,5♥,W,A♠,9,100,92.28,51.72
1,13,14,4♥,E,A♣,9,50,61.86,82.14
1,17,18,3♠,N,Q♥,10,170,118.64,25.36
1,21,22,4♥,W,A♠,9,50,61.86,82.14
1,25,26,4♥,W,A♠,9,50,61.86,82.14
1,29,30,3♠,N,Q♥,9,140,104.44,39.56
1,33,34,4♠*,N,Q♥,8,-300,2.04,141.96
1,37,38,5♥,W,3♥,9,100,92.28,51.72
1,41,42,PO,-,-,-,-,-,-
1,45,46,3♠*,N,5♠,9,530,133.85,10.15
1,49,50,4♥,E,9♣,9,50,61.86,82.14
1,53,54,4♥,W,9♣,9,50,61.86,82.14
1,57,58,5♥,W,A♠,9,100,92.28,51.72
1,61,62,4♠,N,Q♥,10,420,129.79,14.21
1,65,66,5♥,E,K♣,9,100,92.28,51.72
1,69,70,5♥,W,A♠,10,50,61.86,82.14
1,73,74,4♥,W,1♣0,9,50,61.86,82.14
1,77,78,4♠*,N,Q♥,10,590,138.92,5.08
1,81,82,4♥,W,1♣0,9,50,61.86,82.14
1,85,86,4♠,N,Q♥,9,-50,23.33,120.67
1,89,90,PO,-,-,-,-,-,-
1,93,94,4♥,W,1♣0,9,50,61.86,82.14
1,97,98,3♠,N,Q♥,9,140,104.44,39.56
1,101,102,VOID,-,-,-,-,-,-
1,105,106,4♠*,N,Q♥,9,-100,12.18,131.82
1,109,110,3♠,N,Q♥,10,170,118.64,25.36
1,113,114,4♥,W,1♣0,9,50,61.86,82.14
1,117,118,3♠,N,3♥,9,140,104.44,39.56
1,121,122,4♥,E,Q♣,9,50,61.86,82.14
1,125,126,3♠*,N,Q♥,10,630,143.99,0.01
1,129,130,4♠*,N,Q♥,9,-100,12.18,131.82
1,133,134,4♥,W,1♣0,9,50,61.86,82.14
1,137,138,PO,-,-,-,-,-,-
1,141,142,4♥,W,7♣,9,50,61.86,82.14
1,145,146,3♠,N,Q♥,10,170,118.64,25.36
1,3,4,5♥,W,A♠,9,100,92.28,51.72
1,7,8,4♥,W,9♣,9,50,61.86,82.14
1,11,12,4♠*,S,Q♥,10,590,138.92,5.08
1,15,16,3♠,N,A♥,10,170,118.64,25.36
1,19,20,4♠,N,Q♥,9,-50,23.33,120.67
1,23,24,PO,-,-,-,-,-,-
1,27,28,4♠,N,2♥,10,420,129.79,14.21
1,31,32,4♥,W,1♣0,9,50,61.86,82.14
1,35,36,4♥,W,1♣0,9,50,61.86,82.14
1,39,40,5♥*,E,A♣,9,300,125.74,18.26
1,43,44,4♠,N,Q♥,9,-50,23.33,120.67
1,47,48,3♠,N,Q♥,9,140,104.44,39.56
1,51,52,3♠,N,2♣,9,140,104.44,39.56
1,55,56,4♥,W,A♠,10,-420,0.01,143.99
1,59,60,3♠,N,Q♥,10,170,118.64,25.36
1,63,64,4♠*,N,Q♥,10,590,138.92,5.08
1,67,68,4♥,W,1♣0,9,50,61.86,82.14
1,71,72,5♥,W,A♠,9,100,92.28,51.72
1,75,76,4♥,W,1♣0,9,50,61.86,82.14
1,79,80,3♥,E,A♣,10,-170,4.07,139.93
1,83,84,4♠*,N,Q♥,9,-100,12.18,131.82
1,87,88,4♠,S,K♥,9,-50,23.33,120.67
1,91,92,4♠*,N,Q♥,10,590,138.92,5.08
1,95,96,5♠,N,Q♥,9,-100,12.18,131.82
1,99,100,4♠,N,Q♥,10,420,129.79,14.21
1,103,104,4♠*,N,Q♥,9,-100,12.18,131.82
1,107,108,PO,-,-,-,-,-,-
1,111,112,4♥,W,1♣0,9,50,61.86,82.14
1,115,116,4♥,W,1♣0,9,50,61.86,82.14
1,119,120,5♥,E,A♠,10,50,61.86,82.14
1,123,124,4♠*,N,Q♥,9,-100,12.18,131.82
1,127,128,4♥,W,7♣,9,50,61.86,82.14
1,131,132,4♥,W,1♣0,9,50,61.86,82.14
1,135,136,3♠,N,Q♥,10,170,118.64,25.36
