Oxford
Location: 450900E 207200N, Lat 51.761 Lon -1.262, 63 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1853   1    8.4     2.7       4    62.8     ---
   1853   2    3.2    -1.8      19    29.3     ---
   1853   3    7.7    -0.6      20    25.9     ---
   1853   4   12.6     4.5       0    60.1     ---
   1853   5   16.8     6.1       0    59.5     ---
   1853   6   20.1    10.7       0    82.0     ---
      1853   6   20.1    10.7       0    82.0     --- Provisional
1 2 3
4 5 6 7
8  9  10 11 12
13 14     Provisional
15 16 17 18     Provisional
   1929   1    3.7    -1.1      21    29.8    43.8
   1929   2    3.3    -3.0      19    14.1    60.5
   1929   3   12.9    -0.1      17     1.4   190.2
   1929   4   11.8     2.5       6    34.3   144.7
   1929   5   17.1     6.4       2    28.4   240.9
   1929   6   18.9     8.9       0    24.3   210.3
   1929   7   22.7    11.2       0    34.8   219.7
   1929   8   21.2    11.6       0    25.4   176.3
   1929   9   23.2    10.7       0     2.6   199.1
   2014  12    8.7     2.4       9    44.0    96.9 
   2015   1    8.4     1.6      10    53.6    78.5   Provisional
   2015   2    7.5     1.1       9    48.7    80.8   Provisional
   2015   3   11.4     3.4       1    25.6   115.0   Provisional
   
