Level,Date and Time,Source,Event ID,Task Category
Warning,21/02/2012 15:23:56,Microsoft-Windows-SoftwareRestrictionPolicies,866,None,Access to c:\program files (x86)\avira\antivir desktop\ipmGui.exe has been restricted by your Administrator by location with policy rule {246ACF77-BA35-40A4-A3A4-E60D305EACD4} placed on path C:\Program Files (x86)\Avira\AntiVir Desktop\ipmgui.exe.
Information,21/02/2012 14:54:56,TOSHIBA Service Station,0,None,[d82f5878-45f4-4557-afcf-ca065f0e3058] File version check dependency met? True
Information,21/02/2012 14:54:56,TOSHIBA Service Station,0,None,Checking dependency [d82f5878-45f4-4557-afcf-ca065f0e3058]
Information,21/02/2012 14:54:56,TOSHIBA Service Station,0,None,[8880047b-5a89-40d3-8163-37ca567e05e8] BIOS version dependency met? False
Information,21/02/2012 14:54:56,TOSHIBA Service Station,0,None,Checking dependency [8880047b-5a89-40d3-8163-37ca567e05e8]
Warning,21/02/2012 14:54:56,TOSHIBA Service Station,0,None,Skipping empty element [tsu:setup_args]
Warning,21/02/2012 14:54:56,TOSHIBA Service Station,0,None,Skipping empty element [tsu:setup_args]
Information,21/02/2012 14:54:56,TOSHIBA Service Station,0,None,[StartPlugins]: Success
Information,21/02/2012 13:53:52,TOSHIBA Service Station,0,None,[SaveSettings] UpdateRetryCount: Success
Information,21/02/2012 13:53:52,TOSHIBA Service Station,0,None,[SaveSettings] FirstCheckForUpdates: Success
Information,21/02/2012 13:53:52,TOSHIBA Service Station,0,None,[SaveSettings] LastCheckForUpdates: Success
Information,21/02/2012 13:53:52,TOSHIBA Service Station,0,None,[SaveSettings] AccessAgreementAccepted: Success
Information,21/02/2012 13:53:52,TOSHIBA Service Station,0,None,[SaveSettings] NextActionDate: Success
Information,21/02/2012 13:53:52,TOSHIBA Service Station,0,None,[SaveSettings] FirstServiceDate: Success
Information,21/02/2012 13:29:34,Microsoft-Windows-Security-SPP,903,None,"The Software Protection service has stopped.
"
Information,21/02/2012 13:27:49,MsiInstaller,1042,None,Ending a Windows Installer transaction: C:\Users\chris\AppData\Local\Temp\{7C284CBD-79D3-4A7C-8F23-24410AB9AA0D}\pdfforgeToolbar.msi. Client Process Id: 5952.
Information,21/02/2012 13:27:49,MsiInstaller,1033,None,"Windows Installer installed the product. Product Name: pdfforge Toolbar v5.0. Product Version: 5.0. Product Language: 1033. Manufacturer: Spigot, Inc.. Installation success or error status: 0."
Information,21/02/2012 13:27:49,MsiInstaller,11707,None,Product: pdfforge Toolbar v5.0 -- Installation operation completed successfully.
Information,21/02/2012 13:27:31,MsiInstaller,1040,None,Beginning a Windows Installer transaction: C:\Users\chris\AppData\Local\Temp\{7C284CBD-79D3-4A7C-8F23-24410AB9AA0D}\pdfforgeToolbar.msi. Client Process Id: 5952.
Information,21/02/2012 13:24:34,Microsoft-Windows-Security-SPP,902,None,"The Software Protection service has started.
6.1.7601.17514"
